"Geschlecht";"Groesse";"Gewicht";"jare";"alter"
"414";"W";150;90.3;21.3;54
"415";"M";176;71.6;29.3;57
"416";"W";166;72.6;22.7;60
"417";"M";178;74.1;32;47
"418";"W";165;80.4;12.7;64
"419";"M";180;75;41.3;61
"420";"M";178;85.2;41.3;56
"421";"W";180;65;24;29
"422";"M";178;75;50;47
"423";"M";162;64;26.7;42
"424";"M";175;79.8;41.3;30
"425";"M";194;80;48;49
"426";"M";182;81.3;42.7;49
"427";"M";183;88.4;49.3;42
"428";"M";186;85.5;48.7;40
"429";"M";170;74;25.3;62
"430";"M";181;77.5;44.7;44
"431";"M";170;70;43.3;42
"432";"M";176;85.9;49.3;58
"433";"M";165;78.7;28.7;62
"434";"M";190;100;54.7;52
"435";"M";172;86.3;38.7;54
"436";"M";180;95;46;48
"437";"M";165;76;32.7;53
"438";"M";180;80.2;52.7;43
"439";"M";176;80.3;59.3;54
"440";"W";163;57.2;18.7;50
"441";"M";170;86.6;45.3;58
"442";"M";180;99;51.3;52
"443";"M";198;86.7;33.3;23
"444";"M";193;110;47.3;44
"445";"W";159;59.1;27.3;45
"446";"W";158;61.4;22;51
"447";"W";168;60;22;57
"448";"M";183;76.2;43.3;34
"449";"M";18;99.7;38;55
"450";"M";173;92;29.3;58
"451";"M";190;90.3;48.7;42
"452";"M";178;100;36;55
"453";"W";164;74.8;27.3;49
"454";"W";170;60.2;26;52
"455";"M";193;100.3;14;49
"456";"W";174;65.2;25.3;42
"457";"W";170;90.2;22.7;53
"458";"M";180;82;39.3;41
"459";"M";181;77.8;38;41
"460";"M";180;75;38;53
"461";"M";176;78.9;52.7;46
"462";"M";185;97.3;50.7;46
"463";"M";174;84.2;44.7;25
"464";"M";163;83.1;28.7;48
"465";"M";174;70;41.3;48
"466";"W";159;92.3;30.7;52
"467";"W";161;80;27.3;65
"468";"W";166;70;24.7;50
"469";"M";172;74;35.7;40
"470";"M";172;72;34;51
"471";"W";163;57;30;24
"472";"M";182;73.8;36.7;54
"473";"W";173;69.9;21.3;50
"474";"W";160;54;24;37
"475";"W";171;87.2;24.7;44
"476";"W";169;69.8;22.7;55
"477";"M";170;69.3;42;43
"478";"W";170;64.5;26.7;38
"479";"M";170;87;42.7;39
"480";"W";164;57.6;24;41
"481";"M";182;87.2;44.7;61
"482";"W";175;65;32.7;38
"483";"W";164;82.2;22.7;59
"484";"M";179;80.2;47.3;48
"485";"M";183;82.3;48;46
"486";"W";176;84.3;28.7;37
"487";"W";169;78.9;36.7;45
"488";"W";160;60.2;31.3;31
"489";"W";168;64.8;28.7;51
"490";"M";185;104.8;46;34
"491";"W";169;83.3;31.3;30
"492";"W";169;74.7;27.3;42
"493";"W";158;44.7;25.3;57
"494";"W";162;59.8;23.3;62
"495";"W";161;95.1;8.7;65
"496";"W";165;72.3;14.7;59
"497";"M";167;71.8;40.7;51
"498";"W";162;64.3;22;58
"499";"W";169;67.8;27.3;43
"500";"M";178;79.7;49.3;27
"501";"M";185;78.8;45.3;55
"502";"M";183;119.2;40.7;59
"503";"M";173;79.4;58;41
"504";"W";178;59.3;34;55
"505";"M";171;75.2;38.7;45
"506";"W";167;56.9;22;59
"507";"W";160;65.5;20.7;44
"508";"W";160;65;19.3;56
"509";"M";180;82.3;36;61
"510";"W";169;73.1;16.7;23
"511";"M";188;73.2;36;46
"512";"M";178;75.1;46.7;43
"513";"M";185;85.2;34;22
"514";"M";178;74.3;44.7;48
"515";"W";168;70.2;33.3;66
"516";"W";158;78.3;6;50
"517";"W";165;73.2;28.7;57
"518";"W";164;67.1;36.7;44
"519";"W";162;95.3;20;45
"520";"W";170;71.9;26.7;52
"521";"W";163;91.4;41.3;37
"522";"M";186;67.7;29.3;27
"523";"W";166;74.3;24;61
"524";"M";174;84.3;43.3;48
"525";"W";176;75.9;22.7;48
"526";"W";167;58.2;30;46
"527";"W";155;62.2;19.3;62
"528";"W";168;97.2;26.7;37
"529";"M";176;65.6;40.7;40
"530";"M";185;110.1;48;39
"531";"W";168;74.7;23.3;61
"532";"W";163;81.3;24;43
"533";"W";165;48.3;20.7;29
"534";"M";180;92.2;51.3;46
"535";"W";160;58.3;25.3;36
"536";"W";168;64.3;32.7;50
"537";"M";176;70.3;14;62
"538";"W";176;72.5;26.7;23
"539";"M";170;75.5;39.3;65
"540";"M";169;88.2;40.7;28
"541";"W";176;63.2;20.7;41
"542";"M";186;102.2;50;40
"543";"W";167;59.9;22.7;36
"544";"W";164;58.2;25.3;36
"545";"M";168;75.9;32.7;55
"546";"W";173;68.2;22.7;44
"547";"W";160;72.2;20;56
"548";"M";172;71.3;49.3;50
"549";"W";160;73.2;18.7;59
"550";"W";178;90.2;29.3;38
"551";"W";171;70.3;14;28
"552";"W";170;58.2;18.7;52
"553";"W";175;84.3;28;35
"554";"W";164;51.5;22;42
"555";"W";158;59.8;26.7;40
"556";"W";168;82.3;17.3;57
"557";"W";161;82.6;16.7;56
"558";"M";170;84.7;32.7;46
"559";"W";163;72.2;20;36
"560";"M";183;79.3;41.3;59
"561";"M";180;64.3;37.3;31
"562";"M";185;87.3;34.7;32
"563";"M";174;84.7;40;65
"564";"M";180;70.2;46;27
"565";"W";172;58.8;20.7;50
"566";"W";167;52.4;24.7;34
"567";"W";158;62;24.7;55
"568";"W";160;58.2;30;45
"569";"M";180;74.9;44;45
"570";"W";160;59.9;10.7;57
"571";"W";160;59.6;18.7;53
"572";"W";165;61.4;17.3;58
"573";"W";157;45.6;24;51
"574";"M";179;74.9;38.7;38
"575";"W";158;69.3;23.3;58
"576";"W";155;62.3;9.3;59
"577";"M";178;69.8;40;27
"578";"M";171;72.3;38.7;39
"579";"W";158;66.3;18;60
"580";"W";164;53.9;18.7;56
"581";"W";170;60.2;26;22
"582";"W";170;72.4;30;46
"583";"W";168;68.7;19.3;40
"584";"W";157;53.5;22;39
"585";"W";170;86.2;23.3;57
"586";"W";166;70.8;32.7;40
"587";"W";170;56.7;27.3;36
"588";"M";175;84.6;40.7;47
"589";"M";171;73.2;36;63
"590";"M";170;81.8;42.7;63
"591";"M";198;105.2;41.3;50
"592";"M";187;104.3;49.3;52
"593";"W";160;69.8;18.7;62
"594";"W";166;79.9;30;49
"595";"M";180;84.7;36;37
"596";"W";167;60.3;30;44
"597";"W";161;78.2;28.7;60
"598";"W";156;80.1;24.7;43
"599";"W";161;58.5;22;24
"600";"M";161;71;40;58
"601";"M";178;85.6;41.3;60
"602";"M";169;69.2;44;50
"603";"W";170;74.3;30.7;61
"604";"M";178;93.8;49.3;48
"605";"M";176;80;44.7;23
"606";"M";170;74.4;24.7;54
"607";"M";170;79;40;61
"608";"W";168;78.3;24;64
"609";"W";164;67.4;27.3;50
"610";"W";172;93.1;34;48
"611";"M";176;83.6;32.7;62
"612";"W";164;99;30;42
"613";"M";190;100;48.7;57
"614";"W";165;79.2;23.3;25
"615";"W";179;74;28;29
"616";"M";185;81.2;49.3;22
"617";"M";180;99;31.3;54
"618";"M";175;85;43.3;41
"619";"W";154;58.2;26;53
"620";"M";179;86.5;44.7;52
"621";"M";189;84;34.7;30
"622";"W";163;63.7;18.7;47
"623";"M";186;70.3;36.7;49
"624";"M";180;85;46;43
"625";"M";185;81.1;26.7;58
"626";"M";190;135;45.3;56
"627";"M";179;79.2;42.7;23
"628";"M";178;79;48.7;40
"629";"M";175;84.2;44;55
"630";"W";164;71.4;18.7;38
"631";"W";158;64;5.8;54
"632";"M";186;97.6;49.3;59
"633";"M";168;60.3;40;23
"634";"M";173;76.2;40.7;37
"635";"M";164;88.3;28.7;50
"636";"M";184;97.3;51.3;51
"637";"M";168;62.1;39.3;32
"638";"W";169;63.2;22.7;52
"639";"M";181;89.8;47.3;39
"640";"W";158;72;13.3;46
"641";"M";191;129.4;54.7;27
"642";"M";173;85;50;35
"643";"M";183;98;41.3;46
"644";"M";187;95;34.7;23
"645";"M";180;68;45.3;51
"646";"W";168;62.8;17.3;57
"647";"M";176;78.6;46;46
"648";"M";165;80.4;36.7;49
"649";"W";169;69.2;36.7;34
"650";"W";170;65.3;20.7;56
"651";"M";169;80.7;37.3;65
"652";"M";180;101.1;53.3;26
"653";"M";174;64.5;42.7;32
"654";"M";184;99.3;49.3;58
"655";"M";179;73.4;48;62
"656";"M";176;110.8;46.7;50
"657";"M";176;84.9;22.7;61
"658";"M";178;100;52;52
"659";"M";172;74.1;44;52
"660";"M";169;78.2;42;51
"661";"M";186;97.2;39.3;60
"662";"W";165;63;22.7;51
"663";"M";173;75.6;57.3;40
"664";"M";179;97;59.3;40
"665";"M";188;82.3;59.3;29
"666";"M";172;78.2;34;57
"667";"M";183;98.2;44;37
"668";"W";170;80;23.3;40
"669";"W";148;51.5;21.3;38
"670";"M";180;85.4;51.3;41
"671";"M";178;90.3;52.7;56
"672";"M";184;80;50;50
"673";"M";186;92;44.7;49
"674";"W";170;54;24;28
"675";"M";179;85;42.7;52
